ticker,period,metric,value,unit,source_url,verified
LUV,2005Q2,available_seat_miles,21338928.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238006000007/exhibit_99-1.htm,True
LUV,2005Q3,available_seat_miles,21853579.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238006000018/ex_99-1.htm,True
LUV,2005Q4,available_seat_miles,21748689.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238007000003/ex99-1.htm,True
LUV,2006Q1,available_seat_miles,22079458.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238007000011/ex99-1.htm,True
LUV,2006Q2,available_seat_miles,22883984.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238006000007/exhibit_99-1.htm,True
LUV,2006Q3,available_seat_miles,23784615.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238006000018/ex_99-1.htm,True
LUV,2006Q4,available_seat_miles,23914966.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238007000003/ex99-1.htm,True
LUV,2007Q1,available_seat_miles,23678376.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238007000011/ex99-1.htm,True
LUV,2007Q2,available_seat_miles,24982676.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238007000022/ex99_1.htm,True
LUV,2007Q3,available_seat_miles,25715957.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238007000032/ex99_1.htm,True
LUV,2007Q4,available_seat_miles,25258958.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238008000003/ex99_1.htm,True
LUV,2008Q1,available_seat_miles,25193437.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238008000007/ex99_1.htm,True
LUV,2008Q2,available_seat_miles,26335085.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238008000012/ex99_1.htm,True
LUV,2008Q3,available_seat_miles,26287035.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238008000016/ex99_1.htm,True
LUV,2008Q4,available_seat_miles,25455786.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238009000002/ex99_1.htm,True
LUV,2009Q1,available_seat_miles,24171675.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238009000014/ex99_1.htm,True
